[2026-08-05T15:46:21.972Z] [debug] [vite] connecting...
[2026-08-05T15:46:21.987Z] [debug] [vite] connected.
[2026-08-05T15:46:22.123Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-08-05T15:48:45.674Z] [debug] [vite] hot updated: /src/ui/screens/Battle.tsx
[2026-08-05T15:49:06.527Z] [debug] [vite] hot updated: /src/index.css
[2026-08-05T15:49:23.219Z] [debug] [vite] hot updated: /src/index.css
[2026-08-05T15:51:20.807Z] [debug] [vite] connecting...
[2026-08-05T15:51:20.813Z] [debug] [vite] connected.
[2026-08-05T15:51:20.818Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-08-05T15:52:15.480Z] [debug] [vite] hot updated: /src/ui/screens/Title.tsx
[2026-08-05T15:52:32.786Z] [debug] [vite] connecting...
[2026-08-05T15:52:32.790Z] [debug] [vite] connected.
[2026-08-05T15:52:32.793Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-08-05T15:53:55.943Z] [debug] [vite] hot updated: /src/ui/screens/Title.tsx
[2026-08-05T15:54:02.513Z] [debug] [vite] hot updated: /src/ui/screens/Title.tsx
[2026-08-05T15:54:07.705Z] [debug] [vite] hot updated: /src/ui/screens/Title.tsx
[2026-08-05T15:54:25.746Z] [debug] [vite] connecting...
[2026-08-05T15:54:25.749Z] [debug] [vite] connected.
[2026-08-05T15:54:25.759Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-08-05T15:54:53.275Z] [debug] [vite] hot updated: /src/ui/screens/Title.tsx
[2026-08-05T15:54:59.256Z] [debug] [vite] connecting...
[2026-08-05T15:54:59.258Z] [debug] [vite] connected.
[2026-08-05T15:54:59.264Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-08-05T15:55:58.109Z] [debug] [vite] connecting...
[2026-08-05T15:55:58.110Z] [debug] [vite] connected.
[2026-08-05T15:55:58.116Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-08-05T15:56:52.082Z] [error] WebSocket connection to 'ws://localhost:5174/?token=xF2rvf0KYs6M' failed: 
[2026-08-05T15:56:52.082Z] [log] [vite] server connection lost. Polling for restart...
[2026-08-05T15:57:14.688Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:57:17.343Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:57:23.143Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:57:27.870Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:57:33.568Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:57:38.783Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:57:42.381Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:57:44.657Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:57:49.455Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:57:54.957Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:57:58.593Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:58:03.876Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:58:06.724Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:58:08.864Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:58:11.592Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:58:16.751Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:58:22.110Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:58:25.875Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:58:29.335Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:58:33.474Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:58:36.126Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:58:41.664Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:58:44.782Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:58:50.389Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:58:54.334Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:58:59.730Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:59:05.254Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:59:08.555Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:59:11.838Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:59:16.261Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:59:20.429Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:59:25.238Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:59:29.084Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:59:31.747Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:59:35.526Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:59:40.365Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:59:43.577Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:59:47.788Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:59:50.048Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:59:52.362Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T15:59:56.667Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:00.014Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:05.692Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:10.993Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:16.405Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:20.392Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:25.410Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:28.315Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:32.887Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:36.953Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:40.827Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:43.639Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:46.163Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:51.605Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:52.606Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:53.608Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:54.610Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:55.611Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:56.616Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:57.623Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:58.627Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:00:59.651Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:01:00.688Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:01:01.718Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:01:02.880Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:01:04.122Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:01:05.435Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:01:07.607Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:01:10.666Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:01:12.752Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:01:17.326Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:01:19.335Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:01:24.648Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:01:30.150Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:01:35.494Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:01:39.893Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:01:44.778Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:01:47.793Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:01:50.235Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:01:53.699Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:01:56.310Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:01:59.969Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:02:05.396Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:02:10.218Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:02:16.081Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:02:18.265Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:02:23.197Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:02:25.415Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:02:28.572Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:02:33.510Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:02:39.432Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:02:42.763Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:02:46.104Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:02:52.601Z] [debug] [vite] connecting...
[2026-08-05T16:02:52.689Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-08-05T16:02:56.382Z] [debug] [vite] connected.
[2026-08-05T16:02:56.947Z] [debug] [vite] connecting...
[2026-08-05T16:02:56.952Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-08-05T16:02:58.075Z] [debug] [vite] connected.
[2026-08-05T16:03:18.567Z] [error] WebSocket connection to 'ws://localhost:5174/?token=Zd5oDFiw7OG6' failed: 
[2026-08-05T16:03:18.567Z] [log] [vite] server connection lost. Polling for restart...
[2026-08-05T16:03:18.593Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:03:19.595Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:03:20.597Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:03:21.599Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:03:22.603Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:03:23.610Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:03:24.618Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:03:25.627Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:03:26.670Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:03:27.715Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:03:28.764Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:03:29.886Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:03:31.173Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:03:32.584Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:03:35.107Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:03:37.569Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:03:43.054Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:03:48.718Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:03:54.386Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:03:57.103Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:04:02.360Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:04:06.531Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:04:08.793Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:04:14.618Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:04:17.649Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:04:22.302Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:04:27.498Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:04:30.839Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:04:32.908Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:04:34.937Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:04:39.250Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:04:44.396Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:04:48.374Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:04:52.748Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:04:57.927Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:05:02.966Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:05:05.415Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:05:09.513Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:05:11.557Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:05:15.588Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:05:18.328Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:05:19.329Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:05:20.332Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:05:21.335Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-08-05T16:05:22.338Z] [error] WebSocket connection to 'ws://localhost:5174/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
